Time [s],Channel 0,Channel 1,resp_gpio10,ce,csn,sck,miso,mosi
0.229961250,1,1,0,1,0,1,1,0
0.229961417,1,1,0,1,0,0,1,1
0.229961500,1,1,0,1,0,1,1,1
0.229961667,1,1,0,1,0,0,1,1
0.229961833,1,1,0,1,0,1,1,1
0.229961917,1,1,0,1,0,0,0,1
0.229962083,1,1,0,1,0,1,0,1
0.229962167,1,1,0,1,0,0,0,0
0.229973500,1,1,0,1,0,1,0,0
0.229973667,1,1,0,1,0,0,0,0
0.229973833,1,1,0,1,0,1,0,0
0.229973917,1,1,0,1,0,0,0,0
0.229974083,1,1,0,1,0,1,0,0
0.229974167,1,1,0,1,0,0,1,0
0.229974333,1,1,0,1,0,1,1,0
0.229974417,1,1,0,1,0,0,0,0
0.229974583,1,1,0,1,0,1,0,0
0.229974667,1,1,0,1,0,0,0,0
0.229974833,1,1,0,1,0,1,0,0
0.229974917,1,1,0,1,0,0,0,0
0.229975083,1,1,0,1,0,1,0,0
0.229975167,1,1,0,1,0,0,0,0
0.229975250,1,1,0,1,0,0,1,0
0.229975333,1,1,0,1,0,1,1,0
0.229975500,1,1,0,1,0,0,0,0
0.229982333,1,1,0,1,1,0,0,0
0.230071333,1,1,0,1,0,0,0,0
0.230088083,1,1,0,1,0,1,0,0
0.230088250,1,1,0,1,0,0,0,0
0.230088333,1,1,0,1,0,1,0,0
0.230088500,1,1,0,1,0,0,0,0
0.230088583,1,1,0,1,0,1,0,0
0.230088750,1,1,0,1,0,0,0,1
0.230088833,1,1,0,1,0,1,0,1
0.230089000,1,1,0,1,0,0,1,0
0.230089083,1,1,0,1,0,1,1,0
0.230089250,1,1,0,1,0,0,1,1
0.230089417,1,1,0,1,0,1,1,1
0.230089500,1,1,0,1,0,0,1,1
0.230089667,1,1,0,1,0,1,1,1
0.230089750,1,1,0,1,0,0,0,1
0.230089917,1,1,0,1,0,1,0,1
0.230090000,1,1,0,1,0,0,0,0
0.230100167,1,1,0,1,0,1,0,0
0.230100250,1,1,0,1,0,0,0,0
0.230100417,1,1,0,1,0,1,0,0
0.230100500,1,1,0,1,0,0,0,0
0.230100667,1,1,0,1,0,1,0,0
0.230100750,1,1,0,1,0,0,0,0
0.230100833,1,1,0,1,0,0,1,0
0.230100917,1,1,0,1,0,1,1,0
0.230101000,1,1,0,1,0,0,1,0
0.230101083,1,1,0,1,0,0,0,0
0.230101167,1,1,0,1,0,1,0,0
0.230101333,1,1,0,1,0,0,0,0
0.230101417,1,1,0,1,0,1,0,0
0.230101583,1,1,0,1,0,0,0,0
0.230101667,1,1,0,1,0,1,0,0
0.230101833,1,1,0,1,0,0,1,0
